title,total_gross,gross,return_rate,std_IMDB,std_Meta,rating,distributor,release_date,release_month,release_year,genre,mins,MPAA_rating,budget (millions),theatres,totalweek,IMDB_rating,director,stars,Metascore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3(2011),"59,954","52,031",#VALUE!,#VALUE!,#VALUE!,#VALUE!,STRAND,2011/9/16,9,2011,Drama,119,Unrated,N/A,4,12,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,"210,614,939","198,352,136",3.240229831,#VALUE!,-0.391967422,#VALUE!,WARNER BROS.,2007/3/9,3,2007,Period Action,117,R,65,3103,18,NA,NA,NA,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300RISEOFANEMPIRE,"106,580,051",87883084.76 ,0.968909555,0.10351455,-0.57117098,-0.46765643,WARNER BROS.,2014/3/7,3,2014,Period Action,102,R,110,3470,12,6.3,Noam Murro,"Sullivan Stapleton,Eva Green,Lena Headey",48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30BEATS,"14,693","12,493",#VALUE!,-2.066349637,-2.24373752,-4.310087157,ROADSIDE ATTRACTIONS,2012/7/20,7,2012,Romantic Comedy,#VALUE!,R,N/A,15,2,4,Alexis Lloyd,"Condola Rashad,Justin Kirk,Jennifer Tilly",20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30DAYSOFNIGHT,"39,568,996",37265138.44 ,1.318966533,0.386540314,-0.272498383,0.114041931,SONY / COLUMBIA,2007/10/19,10,2007,Horror,113,R,30,2855,6,6.6,David Slade,"Josh Hartnett,Melissa George,Danny Huston",53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30MINUTESORLESS,"37,053,924",32157223.27 ,1.323354429,0.009172629,-0.51143646,-0.502263831,SONY / COLUMBIA,2011/8/12,8,2011,Action Comedy,83,R,28,2888,7,6.2,Ruben Fleischer,"Jesse Eisenberg,Danny McBride,Nick Swardson",49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310TOYUMA(2007),"53,606,916","50,485,717",0.9746712,#VALUE!,#VALUE!,#VALUE!,LIONSGATE,2007/9/7,9,2007,Western,117,R,55,2652,10,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35ANDTICKING,"113,794","98,756",#VALUE!,-0.462536977,#VALUE!,#VALUE!,IMAGE ENTERTAINMENT,2011/5/20,5,2011,Romantic Comedy,90,R,N/A,6,12,5.7,Russ Parr,"Tamala Jones,Nicole Ari Parker,Kevin Hart",NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35SHOTSOFRUM,"177,511","161,527",#VALUE!,#VALUE!,2.057147869,#VALUE!,CINEMA GUILD,2009/9/16,9,2009,Foreign,100,Unrated,N/A,1,36,NA,NA,NA,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,"100,343","85,317",#VALUE!,0.009172629,-0.869843576,-0.860670947,MAGNOLIA,2012/8/3,8,2012,Drama,111,R,N/A,6,8,6.2,Fernando Meirelles,"Rachel Weisz,Jude Law,Anthony Hopkins",43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
